query,difficulty
A0A009GC83,0.55
A0A011NYS2,0.76
A0A014KW24,0.66
A0A014N001,0.54
A0A015J5C0,0.53
A0A015J7C9,0.48
A0A015JNR0,0.5
A0A015LDC8,0.59
A0A015M8T0,0.61
A0A015U2M2,0.52
A0A015WFX7,0.39
A0A015X922,0.56
A0A015XI32,0.75
A0A016AZA5,0.55
A0A016QSY1,0.68
A0A016UCW6,0.65
A0A016V5L6,0.48
A0A016XEP6,0.51
A0A022KS99,0.63
A0A022W2W4,0.56
A0A023PL01,0.71
A0A023PRM6,0.56
A0A024EH22,0.54
A0A024GWS5,0.76
A0A024H671,0.53
A0A024J5I4,0.54
A0A024KAY7,0.49
A0A024QRX4,0.59
A0A027TT44,0.72
A0A031JCU4,0.51
A0A031JXV8,0.43
A0A034UKV1,0.73
A0A034VIX6,0.48
A0A037Z904,0.45
A0A038GYL3,0.76
A0A059EDP7,0.64
A0A059ENV2,0.5
A0A059FFM6,0.76
A0A059LE18,0.58
A0A059WFK9,0.62
A0A060BE86,0.52
A0A060H7U4,0.59
A0A060HI08,0.64
A0A060NBS0,0.43
A0A060X913,0.66
A0A060XS65,0.38
A0A060Z8Y1,0.59
A0A060ZW90,0.49
A0A061AT94,0.39
A0A061B573,0.53
A0A061GDT0,0.47
A0A061I3H3,0.54
A0A061N7V0,0.71
A0A061NG50,0.46
A0A061SEL8,0.3
A0A062X1G5,0.5
A0A063UGB9,0.46
A0A063YP95,0.61
A0A066W079,0.56
A0A066W6E9,0.35
A0A066W7E4,0.63
A0A066WDF2,0.42
A0A066WLX0,0.59
A0A067BN01,0.43
A0A067CMQ8,0.51
A0A067GMI8,0.64
A0A067GTK6,0.67
A0A067JRU2,0.43
A0A067NA85,0.41
A0A067NTC2,0.43
A0A068S6Y7,0.56
A0A068XJY5,0.36
A0A069I6G2,0.61
A0A069K2J9,0.59
A0A069TA36,0.54
A0A069ZK66,0.4
A0A069ZMJ6,0.54
A0A071LBI1,0.75
A0A072T526,0.46
A0A073CKT8,0.65
A0A073INL7,0.68
A0A073IQV5,0.57
A0A073IVF5,0.52
A0A073KT26,0.49
A0A074I5Y8,0.5
A0A074LQC3,0.44
A0A074XG49,0.52
A0A075A2J9,0.49
A0A075FM11,0.61
A0A075G812,0.45
A0A075GM05,0.71
A0A075RGS9,0.61
A0A075WD88,0.73
A0A076JM23,0.78
A0A076LF71,0.6
A0A077J984,0.63
A0A077NVQ4,0.62
A0A078AGD8,0.55
A0A078FCX8,0.33
A0A078H646,0.71
A0A078HU37,0.51
A0A078I7W0,0.77
A0A078L0V3,0.64
A0A078LMT5,0.49
A0A078MP93,0.72
A0A080ZI44,0.64
A0A081A5J8,0.46
A0A081ALP8,0.49
A0A081AZW4,0.62
A0A081B7A3,0.55
A0A081N8Q4,0.73
A0A081NA01,0.41
A0A081NBX5,0.56
A0A081PD82,0.56
A0A081PJ11,0.78
A0A081SFL2,0.72
A0A081TQP4,0.48
A0A081YAU1,0.44
A0A084AS17,0.61
A0A084EP39,0.65
A0A084QDH1,0.42
A0A084RJ60,0.61
A0A084SYI0,0.63
A0A084TK46,0.49
A0A085FXM4,0.31
A0A085GIG7,0.66
A0A085MCB3,0.42
A0A085MIM6,0.47
A0A085MT59,0.49
A0A085NCZ1,0.49
A0A086J5G9,0.52
A0A087A5R2,0.78
A0A087B9J9,PARSE_ERROR
A0A087CMF0,0.72
A0A087GGA1,0.59
A0A087LLX0,0.66
A0A087LVW7,0.28
A0A087M740,0.66
A0A087SKA2,0.65
A0A087VSL5,0.42
A0A087W225,0.52
A0A088F032,0.52
A0A088QYU7,0.57
A0A088RSW7,0.28
A0A089IJR7,0.5
A0A089IU93,0.63
A0A089NXB7,0.39
A0A089ZXK9,0.57
A0A090G1E7,0.47
A0A090GH92,0.48
A0A090IL25,0.42
A0A090R182,0.57
A0A090R387,0.57
A0A090R5C7,0.54
A0A090RCN3,0.47
A0A090RNJ0,0.51
A0A090T2Q3,0.75
A0A093GHV1,0.48
A0A093XDG2,0.43
A0A093Y215,0.49
A0A094A6L6,0.56
A0A094AET1,0.62
A0A094CJ35,0.57
A0A094F652,0.47
A0A094FLE1,0.47
A0A094GBZ8,0.38
A0A094H996,0.28
A0A094KQK3,0.48
A0A095AL37,0.56
A0A095CGB9,0.47
A0A095DSY9,0.38
A0A095FKQ3,0.54
A0A095X363,0.69
A0A095X470,0.6
A0A095XCG2,0.51
A0A096AAW4,0.53
A0A096AYD3,0.7
A0A096NPD8,0.46
A0A096P881,0.37
A0A096URA9,0.5
A0A097IC62,0.6
A0A097P5W6,0.72
A0A097P7J4,0.56
A0A097QWG3,0.71
A0A098CRS7,0.74
A0A098EC82,0.23
A0A098RSJ2,0.62
A0A098S776,0.63
A0A098U1G1,0.6
A0A098VPP9,0.55
A0A098Y773,0.69
A0A099B6C4,0.57
A0A099BVI0,0.73
A0A099IAD4,0.66
A0A099J706,0.49
A0A099U533,0.58
A0A099Y4A5,0.72
A0A0A0BI45,0.54
A0A0A0CTX4,0.51
A0A0A0EWP6,0.69
A0A0A0HX22,0.48
A0A0A0REU0,0.34
A0A0A0WH84,0.6
A0A0A1DRC8,0.65
A0A0A1FA81,0.58
A0A0A1N549,0.43
A0A0A1NB26,0.63
A0A0A1YP99,0.77
A0A0A2C8Z5,0.49
A0A0A2EU78,0.54
A0A0A2KD09,0.54
A0A0A2VAC1,0.53
A0A0A3A7Q9,0.72
A0A0A3IYE7,0.57
A0A0A3J0B4,0.63
A0A0A5I4J8,0.56
A0A0A5IJ77,0.54
A0A0A6N6F8,0.7
A0A0A6RZM7,0.41
A0A0A7PL31,0.56
A0A0A8C7K4,0.58
A0A0A8J3M8,0.4
A0A0A8P0Q0,0.68
A0A0A8P6A0,0.74
A0A0A8RHW7,0.51
A0A0A8VWL6,0.55
A0A0A8W3Z6,0.51
A0A0A8WJ41,0.68
A0A0A9EUH1,0.46
A0A0B0DR31,0.5
A0A0B0H5Y5,0.53
A0A0B0HJ12,0.52
A0A0B0IA79,0.45
A0A0B0MZL3,0.51
A0A0B0NKJ5,0.48
A0A0B1T1F6,0.49
A0A0B1T5E0,0.75
A0A0B1U0D8,0.58
A0A0B2P7N8,0.54
A0A0B2UPC7,0.75
A0A0B2XV23,0.54
A0A0B2YWW9,0.61
